method,replicate,n,p,q,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparxcc_iter,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method,prior_count,data_disagreed_with_prior_count
falcon_sr_cross_fast_calibrated,0,100,500,500,0.01,10,11217,0.7512,0.9841269841269841,1.0,0.8690691264646465,0.5224,0.3068879170004948,19491491,,permutation_base_only,0,0
sparxcc_iter,1,100,500,500,0.01,10,250000,1.0,1.0,0.994,0.9465907701010101,0.5196,0.011204999998881249,18844848,,,0,0
sparxcc_base,1,100,500,500,0.01,10,250000,1.0,1.0,0.994,0.9465907701010101,0.5196,0.006414666000637226,14426880,,,0,0
falcon_sr_cross_fast,1,100,500,500,0.01,10,11302,0.7608,0.9872813990461049,1.0,0.8726340945454546,0.5208,0.11967699999877368,16620217,,,0,0
falcon_sr_cross_prior,1,100,500,500,0.01,10,11576,0.8704,0.8566654288897141,1.0,0.9259909688888889,0.5872,0.12394449999919743,16692424,,,1250,6
falcon_sr_cross_fast_calibrated,1,100,500,500,0.01,10,11302,0.7608,0.9872813990461049,1.0,0.8726340945454546,0.5208,0.2884152919996268,19495755,,permutation_base_only,0,0
sparxcc_iter,2,100,500,500,0.01,10,250000,1.0,1.0,0.9912,0.9455729923232323,0.5212,0.009232332999090431,18844848,,,0,0
sparxcc_base,2,100,500,500,0.01,10,250000,1.0,1.0,0.9912,0.9455729923232323,0.5212,0.006676208999124356,14426880,,,0,0
falcon_sr_cross_fast,2,100,500,500,0.01,10,11265,0.7552,0.9809825673534073,1.0,0.8635676121212121,0.5232,0.1376271249991987,16619276,,,0,0
falcon_sr_cross_prior,2,100,500,500,0.01,10,11570,0.8772,0.8705574261129817,1.0,0.9264220331313131,0.5836,0.1347789580013341,16692762,,,1250,10
falcon_sr_cross_fast_calibrated,2,100,500,500,0.01,10,11265,0.7552,0.9809825673534073,1.0,0.8635676121212121,0.5232,0.34460554200086335,19494923,,permutation_base_only,0,0
sparxcc_iter,0,100,500,500,0.01,25,250000,1.0,1.0,0.9952,0.9460654674747475,0.5224,0.011586417000216898,18845056,,,0,0
sparxcc_base,0,100,500,500,0.01,25,250000,1.0,1.0,0.9952,0.9460654674747475,0.5224,0.005847499998708372,14426984,,,0,0
falcon_sr_cross_fast,0,100,500,500,0.01,25,26912,0.856,0.9841269841269841,1.0,0.9120214917171717,0.5224,0.14537833299982594,17452851,,,0,0
falcon_sr_cross_prior,0,100,500,500,0.01,25,27094,0.9288,0.8768768768768769,1.0,0.9490631741414142,0.5816,0.1625409589996707,17518094,,,1250,8
falcon_sr_cross_fast_calibrated,0,100,500,500,0.01,25,26912,0.856,0.9841269841269841,1.0,0.9120214917171717,0.5224,0.3663897089991224,20434803,,permutation_base_only,0,0
sparxcc_iter,1,100,500,500,0.01,25,250000,1.0,1.0,0.994,0.9465907701010101,0.5196,0.011344499998813262,18844912,,,0,0
sparxcc_base,1,100,500,500,0.01,25,250000,1.0,1.0,0.994,0.9465907701010101,0.5196,0.005382709001423791,14426944,,,0,0
falcon_sr_cross_fast,1,100,500,500,0.01,25,26966,0.8616,0.9872813990461049,1.0,0.9144208711111111,0.5208,0.1538706249993993,17454521,,,0,0
falcon_sr_cross_prior,1,100,500,500,0.01,25,27124,0.9248,0.8566654288897141,1.0,0.9476779458585859,0.5872,0.1704781250009546,17518172,,,1250,6
falcon_sr_cross_fast_calibrated,1,100,500,500,0.01,25,26966,0.8616,0.9872813990461049,1.0,0.9144208711111111,0.5208,0.36633304200040584,20314339,,permutation_base_only,0,0
sparxcc_iter,2,100,500,500,0.01,25,250000,1.0,1.0,0.9912,0.9455729923232323,0.5212,0.011422249999668566,18844848,,,0,0
sparxcc_base,2,100,500,500,0.01,25,250000,1.0,1.0,0.9912,0.9455729923232323,0.5212,0.005462999999508611,14426880,,,0,0
falcon_sr_cross_fast,2,100,500,500,0.01,25,26947,0.8596,0.9809825673534073,1.0,0.9098385842424243,0.5232,0.13744674999907147,17453206,,,0,0
falcon_sr_cross_prior,2,100,500,500,0.01,25,27119,0.9284,0.8705574261129817,1.0,0.9489698844444444,0.5836,0.16046408300098847,17517879,,,1250,10
falcon_sr_cross_fast_calibrated,2,100,500,500,0.01,25,26947,0.8596,0.9809825673534073,1.0,0.9098385842424243,0.5232,0.34942025000054855,20313171,,permutation_base_only,0,0
sparxcc_iter,0,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.0042640409992600325,5372880,,,0,0
sparxcc_base,0,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.0037133330006327014,2887752,,,0,0
falcon_sr_cross_fast,0,500,100,100,0.01,10,2220,1.0,1.0,1.0,1.0,1.0,0.01632525000059104,2930304,,,0,0
falcon_sr_cross_prior,0,500,100,100,0.01,10,2220,1.0,1.0,1.0,1.0,1.0,0.015990207999493578,2930304,,,50,0
falcon_sr_cross_fast_calibrated,0,500,100,100,0.01,10,2220,1.0,1.0,1.0,1.0,1.0,0.0617848750007397,3589203,,permutation_base_only,0,0
sparxcc_iter,1,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.004320624999309075,5372672,,,0,0
sparxcc_base,1,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.002147167000657646,2887648,,,0,0
falcon_sr_cross_fast,1,500,100,100,0.01,10,2217,1.0,1.0,1.0,1.0,1.0,0.014850333000140381,2930176,,,0,0
falcon_sr_cross_prior,1,500,100,100,0.01,10,2217,1.0,1.0,1.0,1.0,1.0,0.013119957999151666,2930176,,,50,0
falcon_sr_cross_fast_calibrated,1,500,100,100,0.01,10,2217,1.0,1.0,1.0,1.0,1.0,0.0685950410006626,3588891,,permutation_base_only,0,0
sparxcc_iter,2,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.00446275000103924,5372672,,,0,0
sparxcc_base,2,500,100,100,0.01,10,10000,1.0,1.0,1.0,1.0,1.0,0.002301708998857066,2887648,,,0,0
falcon_sr_cross_fast,2,500,100,100,0.01,10,2236,1.0,1.0,1.0,1.0,1.0,0.013467207998473896,2930176,,,0,0
falcon_sr_cross_prior,2,500,100,100,0.01,10,2236,1.0,1.0,1.0,1.0,1.0,0.014534207999531645,2930176,,,50,0
falcon_sr_cross_fast_calibrated,2,500,100,100,0.01,10,2236,1.0,1.0,1.0,1.0,1.0,0.05740479199994297,3589891,,permutation_base_only,0,0
sparxcc_iter,0,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.004386208000141778,5372880,,,0,0
sparxcc_base,0,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.0021706660008931067,2887752,,,0,0
falcon_sr_cross_fast,0,500,100,100,0.01,25,5268,1.0,1.0,1.0,1.0,1.0,0.015030832999400445,2930304,,,0,0
falcon_sr_cross_prior,0,500,100,100,0.01,25,5268,1.0,1.0,1.0,1.0,1.0,0.01580833300067752,2930304,,,50,0
falcon_sr_cross_fast_calibrated,0,500,100,100,0.01,25,5268,1.0,1.0,1.0,1.0,1.0,0.06343666700013273,3748371,,permutation_base_only,0,0
sparxcc_iter,1,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.004404707999128732,5372672,,,0,0
sparxcc_base,1,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.0018930000005639158,2887648,,,0,0
falcon_sr_cross_fast,1,500,100,100,0.01,25,5287,1.0,1.0,1.0,1.0,1.0,0.012678666998908739,2930176,,,0,0
falcon_sr_cross_prior,1,500,100,100,0.01,25,5287,1.0,1.0,1.0,1.0,1.0,0.013810417000058806,2930176,,,50,0
falcon_sr_cross_fast_calibrated,1,500,100,100,0.01,25,5287,1.0,1.0,1.0,1.0,1.0,0.05899233300078777,3749107,,permutation_base_only,0,0
sparxcc_iter,2,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.004214499998852261,5372672,,,0,0
sparxcc_base,2,500,100,100,0.01,25,10000,1.0,1.0,1.0,1.0,1.0,0.0021433750007417984,2887648,,,0,0
falcon_sr_cross_fast,2,500,100,100,0.01,25,5275,1.0,1.0,1.0,1.0,1.0,0.014599541000279714,2930176,,,0,0
falcon_sr_cross_prior,2,500,100,100,0.01,25,5275,1.0,1.0,1.0,1.0,1.0,0.01593450000109442,2930176,,,50,0
falcon_sr_cross_fast_calibrated,2,500,100,100,0.01,25,5275,1.0,1.0,1.0,1.0,1.0,0.06378191700059688,3749011,,permutation_base_only,0,0
