method,replicate,n,p,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparcc,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method
falcon_sr_fast_calibrated,1,100,100,0.02,10,1123,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.2598917920004169,1094957,,permutation_base_only
sparcc_py,2,100,100,0.02,10,4950,1.0,1.0,1.0,0.9952295580001208,0.8585858585858586,0.000854375000926666,696112,,
pearson_clr,2,100,100,0.02,10,4950,1.0,0.9038461538461539,1.0,0.995341999671004,0.8686868686868687,0.0014243330006138422,400040,,
pearson_raw,2,100,100,0.02,10,4950,1.0,0.13142857142857142,0.9797979797979798,0.8168137778527389,0.21212121212121213,0.00047604199971829075,322704,,
spieceasi_mb,2,100,100,0.02,10,4950,1.0,0.6779661016949152,0.98989898989899,0.9926090423925922,0.8686868686868687,0.21931187500013039,481000,,
spieceasi_glasso,2,100,100,0.02,10,4950,1.0,0.8333333333333334,1.0,0.9963664682279401,0.8787878787878788,0.17755487499925948,633437,,
falcon_sr_strict,2,100,100,0.02,10,4950,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.006598083999051596,645928,,
falcon_sr_fast,2,100,100,0.02,10,1116,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.02791829099987808,563576,,
falcon_sr_fast_calibrated,2,100,100,0.02,10,1116,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.1834543749992008,1093512,,permutation_base_only
sparcc_py,0,100,100,0.02,25,4950,1.0,1.0,1.0,0.9954648526077098,0.8686868686868687,0.0007284169987542555,696224,,
pearson_clr,0,100,100,0.02,25,4950,1.0,0.9223300970873787,1.0,0.996110351088706,0.8787878787878788,0.0006459160013037035,400144,,
pearson_raw,0,100,100,0.02,25,4950,1.0,0.15789473684210525,0.9595959595959596,0.8152125251692351,0.2828282828282828,0.00036966600055166055,322784,,
spieceasi_mb,0,100,100,0.02,25,4950,1.0,0.7368421052631579,1.0,0.9985424227848471,0.898989898989899,0.21754512500046985,481240,,
spieceasi_glasso,0,100,100,0.02,25,4950,1.0,0.8333333333333334,1.0,0.997567928303859,0.9191919191919192,0.22620916699997906,633383,,
falcon_sr_strict,0,100,100,0.02,25,4950,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.008976250001069275,645896,,
falcon_sr_fast,0,100,100,0.02,25,2644,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.03382258400051796,740410,,
falcon_sr_fast_calibrated,0,100,100,0.02,25,2644,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.2248526250004943,1175134,,permutation_base_only
sparcc_py,1,100,100,0.02,25,4950,1.0,1.0,1.0,0.996857879974763,0.8484848484848485,0.0007946669993543765,696112,,
pearson_clr,1,100,100,0.02,25,4950,1.0,0.9603960396039604,1.0,0.9967142045064123,0.8484848484848485,0.0005124999988765921,400040,,
pearson_raw,1,100,100,0.02,25,4950,1.0,0.13793103448275862,1.0,0.8835374982561129,0.24242424242424243,0.00048633299957145937,322704,,
spieceasi_mb,1,100,100,0.02,25,4950,1.0,0.6923076923076923,1.0,0.9988172802025616,0.9090909090909091,0.195311125000444,481000,,
spieceasi_glasso,1,100,100,0.02,25,4950,1.0,0.7837837837837838,1.0,0.9979323226076473,0.898989898989899,0.19766479099962453,633421,,
falcon_sr_strict,1,100,100,0.02,25,4950,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.006590291000975412,645784,,
falcon_sr_fast,1,100,100,0.02,25,2642,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.030685957999594393,739641,,
falcon_sr_fast_calibrated,1,100,100,0.02,25,2642,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.2520269159995223,1175812,,permutation_base_only
sparcc_py,2,100,100,0.02,25,4950,1.0,1.0,1.0,0.9952295580001208,0.8585858585858586,0.0005975410003884463,696112,,
pearson_clr,2,100,100,0.02,25,4950,1.0,0.9038461538461539,1.0,0.995341999671004,0.8686868686868687,0.0010058749994641403,400040,,
pearson_raw,2,100,100,0.02,25,4950,1.0,0.13142857142857142,0.9797979797979798,0.8168137778527389,0.21212121212121213,0.0007907500003057066,322704,,
spieceasi_mb,2,100,100,0.02,25,4950,1.0,0.6779661016949152,0.98989898989899,0.9926090423925922,0.8686868686868687,0.20919933299956028,481000,,
spieceasi_glasso,2,100,100,0.02,25,4950,1.0,0.8333333333333334,1.0,0.9963664682279401,0.8787878787878788,0.20683741700122482,633413,,
falcon_sr_strict,2,100,100,0.02,25,4950,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.007837375000235625,645752,,
falcon_sr_fast,2,100,100,0.02,25,2639,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.03644133300076646,739660,,
falcon_sr_fast_calibrated,2,100,100,0.02,25,2639,1.0,0.98,1.0,0.9950796357722764,0.8585858585858586,0.1916363750005985,1173769,,permutation_base_only
sparcc_py,0,100,100,0.02,50,4950,1.0,1.0,1.0,0.9954648526077098,0.8686868686868687,0.0006914589994266862,696224,,
pearson_clr,0,100,100,0.02,50,4950,1.0,0.9223300970873787,1.0,0.996110351088706,0.8787878787878788,0.0007176250001066364,400144,,
pearson_raw,0,100,100,0.02,50,4950,1.0,0.15789473684210525,0.9595959595959596,0.8152125251692351,0.2828282828282828,0.0004449170010047965,322784,,
spieceasi_mb,0,100,100,0.02,50,4950,1.0,0.7368421052631579,1.0,0.9985424227848471,0.898989898989899,0.19933974999912607,481240,,
spieceasi_glasso,0,100,100,0.02,50,4950,1.0,0.8333333333333334,1.0,0.997567928303859,0.9191919191919192,0.20344616700094775,633453,,
falcon_sr_strict,0,100,100,0.02,50,4950,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.007359625000390224,645776,,
falcon_sr_fast,0,100,100,0.02,50,4950,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.03179062500021246,1136090,,
falcon_sr_fast_calibrated,0,100,100,0.02,50,4950,1.0,0.98,1.0,0.9951233630887311,0.8787878787878788,0.23456366599930334,1615395,,permutation_base_only
sparcc_py,1,100,100,0.02,50,4950,1.0,1.0,1.0,0.996857879974763,0.8484848484848485,0.0005937080004514428,696112,,
pearson_clr,1,100,100,0.02,50,4950,1.0,0.9603960396039604,1.0,0.9967142045064123,0.8484848484848485,0.0007338749983318849,400040,,
pearson_raw,1,100,100,0.02,50,4950,1.0,0.13793103448275862,1.0,0.8835374982561129,0.24242424242424243,0.000404500000513508,322704,,
spieceasi_mb,1,100,100,0.02,50,4950,1.0,0.6923076923076923,1.0,0.9988172802025616,0.9090909090909091,0.198302209000758,481000,,
spieceasi_glasso,1,100,100,0.02,50,4950,1.0,0.7837837837837838,1.0,0.9979323226076473,0.898989898989899,0.19844145800016122,633296,,
falcon_sr_strict,1,100,100,0.02,50,4950,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.007138333001421415,645704,,
falcon_sr_fast,1,100,100,0.02,50,4950,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.03085708400067233,1135568,,
falcon_sr_fast_calibrated,1,100,100,0.02,50,4950,1.0,0.98,1.0,0.9969453346076723,0.8484848484848485,0.2704189999985829,1614272,,permutation_base_only
