# Profile of weighted_sparse + stability, n_resamples=100
# Cell: {'scenario': 'sparse_random', 'n': 500, 'p': 1000, 'seed': 200, 'density': 0.002, 'edge_strength': 0.6, 'depth': 5000}
# Wallclock total: 87.295s
# Edges selected: 435820
# Converged: True

## Top 40 by cumulative time
         478869 function calls (466527 primitive calls) in 87.293 seconds

   Ordered by: cumulative time
   List reduced from 2102 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  457/456    0.091    0.000    0.096    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/llvmlite/binding/ffi.py:195(__call__)
       26    0.088    0.003    0.088    0.003 {built-in method _imp.create_dynamic}
        1    0.073    0.073    0.074    0.074 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1229(eigvalsh)
        1    0.071    0.071   85.730   85.730 /Users/justin/project/school/FALCONE/src/falcon/stability.py:73(select_by_stability)
      234    0.045    0.000    0.045    0.000 {built-in method _io.open_code}
      236    0.041    0.000    0.041    0.000 {method 'read' of '_io.BufferedReader' objects}
      201    0.035    0.000    0.035    0.000 {method 'outer' of 'numpy.ufunc' objects}
      315    0.035    0.000    0.035    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      107    0.024    0.000    0.024    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.023    0.023    0.027    0.027 /Users/justin/project/school/FALCONE/src/falcon/api.py:149(_build_edge_table)
      234    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
      303    0.014    0.000    0.014    0.000 {built-in method numpy.zeros}
      306    0.014    0.000    0.014    0.000 {method 'astype' of 'numpy.ndarray' objects}
      949    0.013    0.000    0.013    0.000 {built-in method posix.stat}
       34    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
     1324    0.011    0.000    0.022    0.000 <frozen abc>:105(__new__)
     8505    0.010    0.000    0.010    0.000 {built-in method builtins.max}
1985/1902    0.009    0.000    0.011    0.000 {built-in method __new__ of type object at 0x104dba050}
    26/23    0.009    0.000    0.019    0.001 {built-in method _imp.exec_dynamic}
      201    0.008    0.000    0.298    0.001 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:1041(triu_indices)
  1025/77    0.007    0.000    0.012    0.000 /Users/justin/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/re/_compiler.py:37(_compile)
      227    0.006    0.000    0.006    0.000 {built-in method builtins.eval}
    16549    0.006    0.000    0.012    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/utils.py:475(stream_list)
   564/82    0.006    0.000    0.017    0.000 /Users/justin/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/re/_parser.py:512(_parse)
   2223/9    0.006    0.000    0.061    0.007 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/typing/context.py:495(install_registry)
      402    0.005    0.000    0.006    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:340(_broadcast_to)
      100    0.005    0.000    0.005    0.000 {method 'sort' of 'numpy.ndarray' objects}
     1012    0.005    0.000    0.024    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:887(make_overload_template)
      234    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
4855/4468    0.004    0.000    0.396    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    20787    0.004    0.000    0.019    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1322(new_registrations)
  549/547    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      204    0.004    0.000    0.004    0.000 /Users/justin/project/school/FALCONE/.venv/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:815(fill_diagonal)
        1    0.004    0.004    0.008    0.008 /Users/justin/project/school/FALCONE/src/falcon/preprocessing.py:67(prepare_log_composition)
      240    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}


